Company,Year,Revenue,Broker,Broker_fee,Broker_fee_percentage,D&O Limit,E&O Limit,Price
1,1/1/2016,16521561,Broker A,6870,0.1,1500000,500000,75579
10,1/1/2016,20951041,Broker A,8616,0.1,2000000,1000000,94776
20,1/1/2016,2891185,Broker A,4639,0.1,500000,100000,51036
21,1/1/2016,13762783,Broker A,5500,0.1,1000000,250000,60500
35,1/1/2016,14250119,Broker A,5500,0.1,1000000,250000,60500
51,1/1/2016,1972687,Broker A,5150,0.1,500000,100000,56650
55,1/1/2016,21740962,Broker A,9993,0.1,2000000,1000000,109933
78,1/1/2016,1858105,Broker A,4000,0.1,500000,100000,44000
87,1/1/2016,7401952,Broker A,4000,0.1,500000,100000,44000
88,1/1/2016,6639303,Broker A,4000,0.1,500000,100000,44000
96,1/1/2016,15724095,Broker A,8000,0.1,1500000,500000,88000
106,1/1/2016,5615357,Broker A,4000,0.1,500000,100000,44000
112,1/1/2016,5206693,Broker A,4000,0.1,500000,100000,44000
126,1/1/2016,12502588,Broker A,5500,0.1,1000000,250000,60500
133,1/1/2016,17980692,Broker A,9279,0.1,1500000,500000,102073
144,1/1/2016,20336435,Broker A,9279,0.1,2000000,1000000,102073
145,1/1/2016,21591093,Broker A,8616,0.1,2000000,1000000,94776
158,1/1/2016,18955094,Broker A,8000,0.1,1500000,500000,88000
167,1/1/2016,19557332,Broker A,7315,0.1,1500000,500000,80465
171,1/1/2016,15972599,Broker A,6105,0.1,1500000,500000,67155
176,1/1/2016,10969734,Broker A,5500,0.1,1000000,250000,60500
199,1/1/2016,12788119,Broker A,5500,0.1,1000000,250000,60500
227,1/1/2016,1920078,Broker A,4996,0.1,500000,100000,54966
228,1/1/2016,1998696,Broker A,4639,0.1,500000,100000,51036
229,1/1/2016,15300010,Broker A,8000,0.1,1500000,500000,88000
231,1/1/2016,18583823,Broker A,8000,0.1,1500000,500000,88000
252,1/1/2016,14914553,Broker A,5500,0.1,1000000,250000,60500
253,1/1/2016,8314322,Broker A,4000,0.1,500000,100000,44000
257,1/1/2016,21577868,Broker A,8880,0.1,2000000,1000000,97680
265,1/1/2016,5427523,Broker A,4781,0.1,500000,100000,52600
279,1/1/2016,3933446,Broker A,4000,0.1,500000,100000,44000
283,1/1/2016,8107348,Broker A,5150,0.1,500000,100000,56650
285,1/1/2016,14083753,Broker A,5923,0.1,1000000,250000,65158
286,1/1/2016,6114874,Broker A,4000,0.1,500000,100000,44000
299,1/1/2016,11734817,Broker A,5923,0.1,1000000,250000,65158
306,1/1/2016,1365502,Broker A,4000,0.1,500000,100000,44000
308,1/1/2016,18503421,Broker A,9279,0.1,1500000,500000,102073
319,1/1/2016,6836812,Broker A,4639,0.1,500000,100000,51036
326,1/1/2016,17333415,Broker A,8000,0.1,1500000,500000,88000
329,1/1/2016,15323648,Broker A,8000,0.1,1500000,500000,88000
330,1/1/2016,20761949,Broker A,9279,0.1,2000000,1000000,102073
355,1/1/2016,18709941,Broker A,8616,0.1,1500000,500000,94776
371,1/1/2016,19079733,Broker A,8000,0.1,1500000,500000,88000
375,1/1/2016,9815762,Broker A,4000,0.1,500000,100000,44000
386,1/1/2016,1925928,Broker A,4440,0.1,500000,100000,48840
416,1/1/2016,15577587,Broker A,7081,0.1,1500000,500000,77895
435,1/1/2016,5801235,Broker A,4996,0.1,500000,100000,54966
441,1/1/2016,4658328,Broker A,4440,0.1,500000,100000,48840
446,1/1/2016,16376279,Broker A,8616,0.1,1500000,500000,94776
448,1/1/2016,22403956,Broker A,10300,0.1,2000000,1000000,113301
459,1/1/2016,12793657,Broker A,4996,0.1,1000000,250000,54966
477,1/1/2016,17418112,Broker A,8000,0.1,1500000,500000,88000
485,1/1/2016,17529804,Broker A,8616,0.1,1500000,500000,94776
502,1/1/2016,9105974,Broker A,4000,0.1,500000,100000,44000
527,1/1/2016,9617906,Broker A,5150,0.1,500000,100000,56650
530,1/1/2016,11804510,Broker A,5500,0.1,1000000,250000,60500
534,1/1/2016,3019625,Broker A,4000,0.1,500000,100000,44000
542,1/1/2016,22559313,Broker A,7331,0.1,2000000,1000000,80649
544,1/1/2016,7511670,Broker A,5483,0.1,500000,100000,60313
550,1/1/2016,2102992,Broker A,4000,0.1,500000,100000,44000
560,1/1/2016,11410572,Broker A,5500,0.1,1000000,250000,60500
566,1/1/2016,4402232,Broker A,4308,0.1,500000,100000,47388
585,1/1/2016,15166708,Broker A,6776,0.1,1500000,500000,74542
593,1/1/2016,1316824,Broker A,4639,0.1,500000,100000,51036
602,1/1/2016,10183607,Broker A,5923,0.1,1000000,250000,65158
607,1/1/2016,16019024,Broker A,6870,0.1,1500000,500000,75579
618,1/1/2016,15703753,Broker A,8000,0.1,1500000,500000,88000
622,1/1/2016,5017167,Broker A,4308,0.1,500000,100000,47388
623,1/1/2016,19059843,Broker A,8000,0.1,1500000,500000,88000
634,1/1/2016,6104065,Broker A,4000,0.1,500000,100000,44000
640,1/1/2016,13757877,Broker A,5500,0.1,1000000,250000,60500
643,1/1/2016,15665426,Broker A,6575,0.1,1500000,500000,72325
654,1/1/2016,7927624,Broker A,4000,0.1,500000,100000,44000
660,1/1/2016,19779620,Broker A,8000,0.1,1500000,500000,88000
663,1/1/2016,12421732,Broker A,6575,0.1,1000000,250000,72325
665,1/1/2016,16434655,Broker A,8000,0.1,1500000,500000,88000
705,1/1/2016,4826112,Broker A,4000,0.1,500000,100000,44000
706,1/1/2016,1254071,Broker A,4996,0.1,500000,100000,54966
710,1/1/2016,17365155,Broker A,6870,0.1,1500000,500000,75579
718,1/1/2016,8092924,Broker A,4996,0.1,500000,100000,54966
723,1/1/2016,4208933,Broker A,4308,0.1,500000,100000,47388
730,1/1/2016,9472450,Broker A,4000,0.1,500000,100000,44000
734,1/1/2016,16047656,Broker A,8616,0.1,1500000,500000,94776
735,1/1/2016,14803144,Broker A,5500,0.1,1000000,250000,60500
736,1/1/2016,8762453,Broker A,4308,0.1,500000,100000,47388
744,1/1/2016,14244084,Broker A,5500,0.1,1000000,250000,60500
746,1/1/2016,5332515,Broker A,4000,0.1,500000,100000,44000
749,1/1/2016,3281752,Broker A,4996,0.1,500000,100000,54966
750,1/1/2016,7977306,Broker A,4000,0.1,500000,100000,44000
752,1/1/2016,20741490,Broker A,9279,0.1,2000000,1000000,102073
757,1/1/2016,13890666,Broker A,6575,0.1,1000000,250000,72325
774,1/1/2016,11805087,Broker A,5923,0.1,1000000,250000,65158
781,1/1/2016,8377773,Broker A,4000,0.1,500000,100000,44000
785,1/1/2016,9847480,Broker A,4996,0.1,500000,100000,54966
792,1/1/2016,19048826,Broker A,8000,0.1,1500000,500000,88000
799,1/1/2016,5751241,Broker A,4308,0.1,500000,100000,47388
800,1/1/2016,19619006,Broker A,8000,0.1,1500000,500000,88000
802,1/1/2016,19848383,Broker A,8616,0.1,1500000,500000,94776
830,1/1/2016,21419582,Broker A,9993,0.1,2000000,1000000,109933
839,1/1/2016,2092175,Broker A,4639,0.1,500000,100000,51036
843,1/1/2016,9273846,Broker A,4440,0.1,500000,100000,48840
846,1/1/2016,8643429,Broker A,4000,0.1,500000,100000,44000
874,1/1/2016,7248293,Broker A,4996,0.1,500000,100000,54966
902,1/1/2016,15444446,Broker A,7081,0.1,1500000,500000,77895
907,1/1/2016,14335173,Broker A,6379,0.1,1000000,250000,70175
916,1/1/2016,5647622,Broker A,4000,0.1,500000,100000,44000
972,1/1/2016,18158735,Broker A,8616,0.1,1500000,500000,94776
973,1/1/2016,8682458,Broker A,4308,0.1,500000,100000,47388
990,1/1/2016,11312366,Broker A,5923,0.1,1000000,250000,65158
993,1/1/2016,12423368,Broker A,5500,0.1,1000000,250000,60500
994,1/1/2016,14216675,Broker A,5500,0.1,1000000,250000,60500
997,1/1/2016,5595600,Broker A,4308,0.1,500000,100000,47388
1001,1/1/2016,2596069,Broker A,4308,0.1,500000,100000,47388
1010,1/1/2016,2340683,Broker A,4000,0.1,500000,100000,44000
1021,1/1/2016,6995613,Broker A,4000,0.1,500000,100000,44000
1026,1/1/2016,13180173,Broker A,5500,0.1,1000000,250000,60500
1035,1/1/2016,11919075,Broker A,6105,0.1,1000000,250000,67155
1039,1/1/2016,11257447,Broker A,5500,0.1,1000000,250000,60500
1047,1/1/2016,17507506,Broker A,9279,0.1,1500000,500000,102073
1053,1/1/2016,20570106,Broker A,9993,0.1,2000000,1000000,109933
1055,1/1/2016,1155851,Broker A,4308,0.1,500000,100000,47388
